Comment,Designator,Footprint,LCSC
OPA2192,U4,SOIC-8_3.9x4.9mm_P1.27mm,C110074
1k,"R34,R36,R5,R7",R_0402_1005Metric,C11702
2.2u,"C13,C14,C16,C5",C_0402_1005Metric,C12530
12pF,"C17,C18",C_0402_1005Metric,C1547
0,R1,R_0402_1005Metric,C17168
RP2040,U3,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,C2040
27,"R4,R6",R_0402_1005Metric,C25100
10k,"R2,R8,R9",R_0402_1005Metric,C25744
2.2k,"R35,R37",R_0402_1005Metric,C25879
100n,"C10,C11,C12,C15,C19,C3,C4,C6,C7,C8,C9",C_0402_1005Metric,C307331
SW_Push,"SW1,SW2",SW_Push_1P1T_XKB_TS-1187A,C318884
22k,"R21,R22,R23,R24,R25,R26,R27,R28,R29,R30,R31,R32,R33",R_0402_1005Metric,C326601
10p,"C20,C21,C22",C_0402_1005Metric,C32949
Crystal_GND24,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,C50430
USB_B_Micro,J1,USB_Micro-B_Molex-105017-0001,C505111
1u,"C1,C2",C_0402_1005Metric,C52923
XC6206PxxxMR,U1,SOT-23-3,C5446
W25Q32JVZP,U2,WSON-8-1EP_6x5mm_P1.27mm_EP3.4x4.3mm,C571260
11k,"R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20",R_0402_1005Metric,C705064
Conn_01x04,J3,PinSocket_1x04_P2.54mm_Vertical,
Conn_01x02,J2,PinSocket_1x02_P2.54mm_Vertical,
MountingHole_Pad,H1,MountingHole_2.2mm_M2_DIN965_Pad,
MountingHole_Pad,H2,MountingHole_2.2mm_M2_DIN965_Pad,
Conn_01x04,J4,PinSocket_1x04_P2.54mm_Vertical,
MountingHole_Pad,H3,MountingHole_2.2mm_M2_DIN965_Pad,
MountingHole_Pad,H4,MountingHole_2.2mm_M2_DIN965_Pad,
Conn_01x02,J5,PinSocket_1x02_P2.54mm_Vertical,
DNS,R3,R_0402_1005Metric,
SolderJumper_2_Open,JP1,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,
Conn_01x03,J6,PinSocket_1x03_P2.54mm_Vertical,
